sdiag_output_time,data_since,server_thread_count,agent_queue_size,dbd_agent_queue_size,jobs_submitted,jobs_started,jobs_completed,jobs_canceled,jobs_failed,jobs_running,jobs_running_ts,main_schedule_statistics__last_cycle,main_schedule_statistics__max_cycle,main_schedule_statistics__total_cycles,main_schedule_statistics__last_queue_length,backfil_stats__total_backfilled_jobs_since_last_slurm_start,backfil_stats__total_backfilled_jobs_since_last_stats_cycle_start,backfil_stats__total_backfilled_heterogeneous_job_components,backfil_stats__total_cycles,backfil_stats__last_cycle_when,backfil_stats__last_cycle,backfil_stats__max_cycle,backfil_stats__last_depth_cycle,backfil_stats__last_depth_cycle_try_sched,backfil_stats__last_queue_length,rpc_stats_by_msg_type__MESSAGE_NODE_REGISTRATION_STATUS__count,rpc_stats_by_msg_type__MESSAGE_NODE_REGISTRATION_STATUS__ave_time,rpc_stats_by_msg_type__MESSAGE_NODE_REGISTRATION_STATUS__total_time,rpc_stats_by_msg_type__REQUEST_PARTITION_INFO__count,rpc_stats_by_msg_type__REQUEST_PARTITION_INFO__ave_time,rpc_stats_by_msg_type__REQUEST_PARTITION_INFO__total_time,rpc_stats_by_msg_type__REQUEST_NODE_INFO__count,rpc_stats_by_msg_type__REQUEST_NODE_INFO__ave_time,rpc_stats_by_msg_type__REQUEST_NODE_INFO__total_time,rpc_stats_by_msg_type__REQUEST_STATS_INFO__count,rpc_stats_by_msg_type__REQUEST_STATS_INFO__ave_time,rpc_stats_by_msg_type__REQUEST_STATS_INFO__total_time,sdiag_output_time_ts,data_since_ts,backfil_stats__last_cycle_when_ts,jobs_running_ts_ts,main_schedule_statistics__mean_cycle,main_schedule_statistics__mean_depth_cycle,rpc_stats_by_msg_type__REQUEST_JOB_INFO__count,rpc_stats_by_msg_type__REQUEST_JOB_INFO__ave_time,rpc_stats_by_msg_type__REQUEST_JOB_INFO__total_time,rpc_stats_by_msg_type__REQUEST_PRIORITY_FACTORS__count,rpc_stats_by_msg_type__REQUEST_PRIORITY_FACTORS__ave_time,rpc_stats_by_msg_type__REQUEST_PRIORITY_FACTORS__total_time,rpc_stats_by_msg_type__REQUEST_SUBMIT_BATCH_JOB__count,rpc_stats_by_msg_type__REQUEST_SUBMIT_BATCH_JOB__ave_time,rpc_stats_by_msg_type__REQUEST_SUBMIT_BATCH_JOB__total_time,rpc_stats_by_msg_type__REQUEST_COMPLETE_BATCH_SCRIPT__count,rpc_stats_by_msg_type__REQUEST_COMPLETE_BATCH_SCRIPT__ave_time,rpc_stats_by_msg_type__REQUEST_COMPLETE_BATCH_SCRIPT__total_time,main_schedule_statistics__cycles_per_minute,backfil_stats__mean_cycle,backfil_stats__depth_mean,backfil_stats__depth_mean_try_depth,backfil_stats__queue_length_mean,rpc_stats_by_msg_type__MESSAGE_EPILOG_COMPLETE__count,rpc_stats_by_msg_type__MESSAGE_EPILOG_COMPLETE__ave_time,rpc_stats_by_msg_type__MESSAGE_EPILOG_COMPLETE__total_time
2021-02-11 22:36:14,2021-02-11 22:36:12,3,0,0,0,0,0,0,0,0,2021-02-11 22:36:12,0,0,0,0,0,0,0,0,1970-01-01 00:00:00,0,0,0,0,0,10,258,2589,2,260,521,2,287,575,0,0,0,1613100974,1613100972,18000,1613100972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-02-11 22:37:00,2021-02-11 22:36:12,3,0,0,1,1,1,0,0,0,2021-02-11 22:36:42,40,1711,3,0,0,0,0,0,1970-01-01 00:00:00,0,0,0,0,0,10,258,2589,4,230,922,3,298,894,1,216,216,1613101020,1613100972,18000,1613101002,600,0,1,164,164,1,215,215,1,2208,2208,1,1053,1053,NA,NA,NA,NA,NA,NA,NA,NA
2021-02-11 22:38:00,2021-02-11 22:36:12,3,0,0,3,3,1,0,0,2,2021-02-11 22:37:42,910,1711,6,1,0,0,0,0,1970-01-01 00:00:00,0,0,0,0,0,10,258,2589,6,220,1322,4,287,1149,2,231,462,1613101080,1613100972,18000,1613101062,627,0,2,207,414,2,195,391,3,1770,5312,1,1053,1053,6,NA,NA,NA,NA,NA,NA,NA
2021-02-11 22:39:00,2021-02-11 22:36:12,3,0,0,3,3,1,0,0,2,2021-02-11 22:38:42,40,1711,7,0,0,0,0,0,1970-01-01 00:00:00,0,0,0,0,0,10,258,2589,8,224,1798,5,306,1531,3,250,750,1613101140,1613100972,18000,1613101122,543,0,3,199,598,3,194,584,3,1770,5312,1,1053,1053,3,NA,NA,NA,NA,NA,NA,NA
2021-02-11 22:40:00,2021-02-11 22:36:12,3,0,0,3,3,2,0,0,2,2021-02-11 22:39:42,29,1711,9,0,0,0,0,0,1970-01-01 00:00:00,0,0,0,0,0,10,258,2589,10,222,2221,6,296,1780,4,241,964,1613101200,1613100972,18000,1613101182,429,0,4,202,810,4,193,774,3,1770,5312,2,910,1820,3,NA,NA,NA,NA,NA,NA,NA
2021-02-11 22:41:00,2021-02-11 22:36:12,3,0,0,3,3,2,0,0,1,2021-02-11 22:40:42,32,1711,10,0,0,0,0,0,1970-01-01 00:00:00,0,0,0,0,0,10,258,2589,12,217,2609,7,283,1981,5,241,1209,1613101260,1613100972,18000,1613101242,389,0,5,200,1001,5,278,1390,3,1770,5312,2,910,1820,2,NA,NA,NA,NA,NA,NA,NA
2021-02-11 22:42:00,2021-02-11 22:36:12,3,0,0,3,3,2,0,0,1,2021-02-11 22:41:42,78,1711,11,0,0,0,0,0,1970-01-01 00:00:00,0,0,0,0,0,10,258,2589,14,218,3062,8,277,2223,6,267,1606,1613101320,1613100972,18000,1613101302,361,0,6,195,1171,6,271,1626,3,1770,5312,2,910,1820,2,NA,NA,NA,NA,NA,NA,NA
2021-02-11 22:43:00,2021-02-11 22:36:12,3,0,0,3,3,2,0,0,1,2021-02-11 22:42:42,32,1711,12,0,0,0,0,0,1970-01-01 00:00:00,0,0,0,0,0,10,258,2589,16,218,3492,9,271,2442,7,258,1809,1613101380,1613100972,18000,1613101362,333,0,7,193,1357,7,257,1803,3,1770,5312,2,910,1820,2,NA,NA,NA,NA,NA,NA,NA
2021-02-11 22:44:00,2021-02-11 22:36:12,3,0,0,3,3,2,0,0,1,2021-02-11 22:43:42,41,1711,13,0,0,0,0,0,1970-01-01 00:00:00,0,0,0,0,0,10,258,2589,18,215,3885,10,272,2726,8,259,2079,1613101440,1613100972,18000,1613101422,311,0,8,194,1553,8,245,1966,3,1770,5312,2,910,1820,1,NA,NA,NA,NA,NA,NA,NA
2021-02-11 22:45:00,2021-02-11 22:36:12,3,0,0,4,4,2,0,0,2,2021-02-11 22:44:42,1067,1711,15,1,0,0,0,0,1970-01-01 00:00:00,0,0,0,0,0,10,258,2589,20,214,4283,11,277,3050,9,259,2335,1613101500,1613100972,18000,1613101482,342,0,9,193,1739,9,238,2145,4,1721,6887,2,910,1820,1,NA,NA,NA,NA,NA,NA,NA
