JobID|JobIDRaw|Cluster|Partition|Account|Group|GID|User|UID|Submit|Eligible|Start|End|Elapsed|ExitCode|State|NNodes|NCPUS|ReqCPUS|ReqMem|ReqGRES|Timelimit|QOS|NodeList|JobName|NTasks
1001|1001|micro|normal|account2|user5|1005|user5|1005|2021-02-11T22:36:19|2021-02-11T22:36:19|2021-02-11T22:36:19|2021-02-11T22:36:34|00:00:15|0:0|COMPLETED|1|12|12|2800Mc||00:07:00|normal|b1|jobid_1001|
1002|1002|micro|normal|account1|user1|1001|user1|1001|2021-02-11T22:37:08|2021-02-11T22:37:08|2021-02-11T22:37:08|2021-02-11T22:57:09|00:20:01|0:0|COMPLETED|1|1|1|2800Mc||00:30:00|normal|n1|jobid_1002|
1003|1003|micro|normal|account2|user4|1004|user4|1004|2021-02-11T22:37:19|2021-02-11T22:37:19|2021-02-11T22:37:20|2021-02-11T22:39:55|00:02:35|0:0|COMPLETED|1|1|1|500000Mn||00:16:00|normal|b1|jobid_1003|
1004|1004|micro|normal|account1|user3|1003|user3|1003|2021-02-11T22:44:24|2021-02-11T22:44:24|2021-02-11T22:44:24|2021-02-11T22:55:03|00:10:39|0:0|COMPLETED|1|12|12|2800Mc||00:21:00|normal|b1|jobid_1004|
1005|1005|micro|normal|account2|user5|1005|user5|1005|2021-02-11T22:45:58|2021-02-11T22:45:58|2021-02-11T22:55:29|2021-02-11T22:56:38|00:01:09|0:0|COMPLETED|1|12|12|500000Mn||00:10:00|normal|b1|jobid_1005|
1006|1006|micro|normal|account1|user3|1003|user3|1003|2021-02-11T22:46:04|2021-02-11T22:46:04|2021-02-11T22:46:04|2021-02-11T22:50:35|00:04:31|0:0|COMPLETED|1|12|12|2800Mc||00:09:00|normal|g1|jobid_1006|
1007|1007|micro|normal|account2|user4|1004|user4|1004|2021-02-11T22:46:13|2021-02-11T22:46:13|2021-02-11T22:46:14|2021-02-11T23:11:14|00:25:00|0:0|COMPLETED|2|24|24|2800Mc||00:25:00|normal|m[1-2]|jobid_1007|
1008|1008|micro|normal|account2|user4|1004|user4|1004|2021-02-11T22:47:43|2021-02-11T22:47:43|2021-02-11T22:47:44|2021-02-11T22:47:44|00:00:00|0:0|COMPLETED|1|12|12|2800Mc||00:18:00|normal|m3|jobid_1008|
1009|1009|micro|normal|account1|user1|1001|user1|1001|2021-02-11T22:49:22|2021-02-11T22:49:22|2021-02-11T22:57:09|2021-02-11T22:58:16|00:01:07|0:0|COMPLETED|8|96|96|2800Mc||00:05:00|normal|b1,g1,m[3-4],n[1-4]|jobid_1009|
1010|1010|micro|normal|account2|user5|1005|user5|1005|2021-02-11T22:49:27|2021-02-11T22:49:27|2021-02-11T22:49:29|2021-02-11T22:49:29|00:00:00|0:0|COMPLETED|1|12|12|2800Mc||00:17:00|normal|n2|jobid_1010|
1011|1011|micro|normal|account2|user4|1004|user4|1004|2021-02-11T22:50:50|2021-02-11T22:50:50|2021-02-12T00:29:37|2021-02-12T00:29:37|00:00:00|0:0|COMPLETED|1|1|1|2800Mc|gpu:1|00:30:00|normal|g1|jobid_1011|
1012|1012|micro|normal|account2|user5|1005|user5|1005|2021-02-11T22:52:26|2021-02-11T22:52:26|2021-02-11T22:58:16|2021-02-11T23:19:42|00:21:26|0:0|COMPLETED|1|1|1|2800Mc||00:24:00|normal|b1|jobid_1012|
1013|1013|micro|normal|account1|user2|1002|user2|1002|2021-02-11T22:54:39|2021-02-11T22:54:39|2021-02-11T22:56:59|2021-02-11T22:56:59|00:00:00|0:0|COMPLETED|1|1|1|500000Mn||00:10:00|normal|b1|jobid_1013|
1014|1014|micro|normal|account2|user5|1005|user5|1005|2021-02-11T22:54:45|2021-02-11T22:54:45|2021-02-11T22:58:16|2021-02-11T22:58:16|00:00:00|0:0|COMPLETED|1|12|12|2800Mc||00:26:00|normal|n1|jobid_1014|
1015|1015|micro|normal|account1|user2|1002|user2|1002|2021-02-11T22:56:13|2021-02-11T22:56:13|2021-02-11T22:58:16|2021-02-11T23:07:24|00:09:08|0:0|COMPLETED|1|6|6|2800Mc||00:15:00|normal|b1|jobid_1015|
1016|1016|micro|normal|account1|user1|1001|user1|1001|2021-02-11T22:56:26|2021-02-11T22:56:26|2021-02-11T23:16:00|2021-02-11T23:28:53|00:12:53|0:0|COMPLETED|1|2|2|2800Mc|gpu:2|00:24:00|normal|g1|jobid_1016|
1017|1017|micro|normal|account1|user1|1001|user1|1001|2021-02-11T22:57:31|2021-02-11T22:57:31|2021-02-11T22:58:16|2021-02-11T22:58:50|00:00:34|0:0|COMPLETED|1|12|12|2800Mc||00:05:00|normal|n2|jobid_1017|
1018|1018|micro|normal|account1|user3|1003|user3|1003|2021-02-11T22:57:37|2021-02-11T22:57:37|2021-02-11T22:58:29|2021-02-11T22:58:51|00:00:22|0:0|COMPLETED|1|12|12|2800Mc||00:19:00|normal|n3|jobid_1018|
1019|1019|micro|normal|account2|user4|1004|user4|1004|2021-02-11T22:58:05|2021-02-11T22:58:05|2021-02-11T22:58:16|2021-02-11T23:15:39|00:17:23|0:0|COMPLETED|1|12|12|2800Mc|gpu:2|00:30:00|normal|g1|jobid_1019|
1020|1020|micro|normal|account1|user1|1001|user1|1001|2021-02-11T22:58:14|2021-02-11T22:58:14|2021-02-11T22:58:29|2021-02-11T23:05:31|00:07:02|0:0|COMPLETED|1|1|1|2800Mc||00:09:00|normal|n1|jobid_1020|
1021|1021|micro|normal|account1|user1|1001|user1|1001|2021-02-11T23:00:10|2021-02-11T23:00:10|2021-02-11T23:00:29|2021-02-11T23:05:06|00:04:37|0:0|COMPLETED|1|1|1|2800Mc||00:24:00|normal|b1|jobid_1021|
1022|1022|micro|normal|account1|user2|1002|user2|1002|2021-02-11T23:02:56|2021-02-11T23:02:56|2021-02-11T23:02:57|2021-02-11T23:18:38|00:15:41|0:0|COMPLETED|1|1|1|2800Mc||00:20:00|normal|m3|jobid_1022|
1023|1023|micro|normal|account1|user2|1002|user2|1002|2021-02-11T23:04:23|2021-02-11T23:04:23|2021-02-11T23:04:24|2021-02-11T23:08:24|00:04:00|0:0|COMPLETED|2|24|24|2800Mc||00:28:00|normal|n[2-3]|jobid_1023|
1024|1024|micro|normal|account2|user4|1004|user4|1004|2021-02-11T23:04:45|2021-02-11T23:04:45|2021-02-11T23:24:00|2021-02-11T23:34:21|00:10:21|0:0|COMPLETED|1|12|12|500000Mn||00:18:00|normal|b1|jobid_1024|
1025|1025|micro|normal|account1|user1|1001|user1|1001|2021-02-11T23:07:12|2021-02-11T23:07:12|2021-02-11T23:07:29|2021-02-11T23:21:31|00:14:02|0:0|COMPLETED|1|6|6|2800Mc||00:19:00|normal|n1|jobid_1025|
1026|1026|micro|normal|account1|user3|1003|user3|1003|2021-02-11T23:07:28|2021-02-11T23:07:28|2021-02-11T23:07:29|2021-02-11T23:10:53|00:03:24|0:0|COMPLETED|1|1|1|2800Mc||00:19:00|normal|m3|jobid_1026|
1027|1027|micro|normal|account2|user4|1004|user4|1004|2021-02-11T23:08:21|2021-02-11T23:08:21|2021-02-11T23:08:24|2021-02-11T23:08:30|00:00:06|0:0|COMPLETED|3|36|36|2800Mc||00:17:00|normal|n[2-4]|jobid_1027|
1028|1028|micro|normal|account1|user2|1002|user2|1002|2021-02-11T23:09:39|2021-02-11T23:09:39|2021-02-11T23:21:30|2021-02-11T23:21:30|00:00:00|0:0|COMPLETED|1|12|12|500000Mn||00:25:00|normal|b1|jobid_1028|
1029|1029|micro|normal|account2|user5|1005|user5|1005|2021-02-11T23:10:06|2021-02-11T23:10:06|2021-02-11T23:10:29|2021-02-11T23:30:50|00:20:21|0:0|COMPLETED|1|6|6|2800Mc||00:22:00|normal|m3|jobid_1029|
1030|1030|micro|normal|account1|user3|1003|user3|1003|2021-02-11T23:10:49|2021-02-11T23:10:49|2021-02-11T23:11:00|2021-02-11T23:28:35|00:17:35|0:0|COMPLETED|1|12|12|2800Mc||00:27:00|normal|m4|jobid_1030|
1031|1031|micro|normal|account1|user3|1003|user3|1003|2021-02-11T23:11:10|2021-02-11T23:11:10|2021-02-11T23:11:30|2021-02-11T23:21:01|00:09:31|0:0|COMPLETED|1|6|6|2800Mc||00:10:00|normal|b1|jobid_1031|
