dt;job_id;wall_time;user;wall_limit;n_tasks;ntasks_per_node;account;partition;qos;constraint;mem;gres
0;1001;15;user5;7;12;12;account2;normal;normal;;;
49;1002;1201;user1;30;1;1;account1;normal;normal;CPU-N;;
60;1003;155;user4;16;1;1;account2;normal;normal;;500000;
485;1004;639;user3;21;12;12;account1;normal;normal;;;
579;1005;69;user5;10;12;12;account2;normal;normal;;500000;
585;1006;271;user3;9;12;12;account1;normal;normal;;;
594;1007;-1;user4;25;24;12;account2;normal;normal;CPU-M;;
684;1008;0;user4;18;12;12;account2;normal;normal;CPU-M;;
783;1009;66;user1;5;96;12;account1;normal;normal;;;
788;1010;0;user5;17;12;12;account2;normal;normal;CPU-N;;
871;1011;0;user4;30;1;1;account2;normal;normal;;;gpu:1
967;1012;1286;user5;24;1;1;account2;normal;normal;;;
1100;1013;0;user2;10;1;1;account1;normal;normal;;500000;
1106;1014;0;user5;26;12;12;account2;normal;normal;CPU-N;;
1194;1015;548;user2;15;6;6;account1;normal;normal;;;
1207;1016;773;user1;24;2;2;account1;normal;normal;;;gpu:2
1272;1017;34;user1;5;12;12;account1;normal;normal;CPU-N;;
1278;1018;22;user3;19;12;12;account1;normal;normal;;;
1306;1019;1043;user4;30;12;12;account2;normal;normal;;;gpu:2
1315;1020;422;user1;9;1;1;account1;normal;normal;CPU-N;;
1431;1021;277;user1;24;1;1;account1;normal;normal;;;
1597;1022;941;user2;20;1;1;account1;normal;normal;CPU-M;;
1684;1023;240;user2;28;24;12;account1;normal;normal;CPU-N;;
1706;1024;621;user4;18;12;12;account2;normal;normal;;500000;
1853;1025;842;user1;19;6;6;account1;normal;normal;;;
1869;1026;204;user3;19;1;1;account1;normal;normal;CPU-M;;
1922;1027;6;user4;17;36;12;account2;normal;normal;;;
2000;1028;0;user2;25;12;12;account1;normal;normal;;500000;
2027;1029;1220;user5;22;6;6;account2;normal;normal;;;
2070;1030;1055;user3;27;12;12;account1;normal;normal;;;
2091;1031;571;user3;10;6;6;account1;normal;normal;;;
